,State_Name,District_Name,Crop
164050,Punjab,RUPNAGAR,Sesamum
164067,Punjab,S.A.S NAGAR,Sesamum
225493,Uttar Pradesh,RAE BARELI,Small millets
115305,Madhya Pradesh,MORENA,Linseed
115069,Madhya Pradesh,MANDSAUR,Other Kharif pulses
160917,Puducherry,PONDICHERRY,Sweet potato
226089,Uttar Pradesh,RAMPUR,Linseed
235844,Uttarakhand,UDAM SINGH NAGAR,Other Kharif pulses
115815,Madhya Pradesh,NARSINGHPUR,Small millets
159463,Odisha,SONEPUR,Sesamum
160056,Odisha,SUNDARGARH,Safflower
61322,Gujarat,KHEDA,Other Cereals & Millets
161198,Puducherry,YANAM,Sesamum
163546,Punjab,MUKTSAR,Sesamum
113910,Madhya Pradesh,KHARGONE,Small millets
62132,Gujarat,NARMADA,other oilseeds
163168,Punjab,MANSA,Sesamum
163628,Punjab,NAWANSHAHR,Linseed
163839,Punjab,PATIALA,Urad
163323,Punjab,MOGA,Sesamum
162817,Punjab,KAPURTHALA,Sesamum
114358,Madhya Pradesh,MANDLA,Ragi
161803,Punjab,FARIDKOT,Groundnut
162271,Punjab,GURDASPUR,Peas & beans (Pulses)
96270,Karnataka,TUMKUR,Sannhamp
71280,Haryana,YAMUNANAGAR,Arhar/Tur
183789,Tamil Nadu,PERAMBALUR,Rapeseed &Mustard
71137,Haryana,SONIPAT,Barley
30143,Bihar,BHOJPUR,Other Kharif pulses
220881,Uttar Pradesh,MAHOBA,Maize
183981,Tamil Nadu,PUDUKKOTTAI,Black pepper
70270,Haryana,ROHTAK,Masoor
1610,Andhra Pradesh,CHITTOOR,Jowar
95705,Karnataka,SHIMOGA,Moong(Green Gram)
